"","Name","Longitude","Latitude"
"","Abel-meholah","32.35601","35.536929"
"","Mt. Sinai","28.539722","33.973333"
"","Mt. Carmel","32.72935","35.049789"
"","Jezreel","32.555963","35.330789"
"","Aram","33.513056","36.291944"
"","Beer Sheba","31.244952","34.840888"
